tiàn 掭 tiàn
tīng 厅 tīng
tīng 听 tīng
tīng 桯 tīng
tīng 汀 tīng
tīng 烃 tīng
tīng 町 tīng
tīng 𬘩 tīng
tōng 嗵 tōng
tōng 通 tōng
tǎng 倘 tǎng
tǎng 傥 tǎng
tǎng 帑 tǎng
tǎng 淌 tǎng
tǎng 躺 tǎng
tǎng 镋 tǎng
tǐng 侹 tǐng
tǐng 圢 tǐng
tǐng 挺 tǐng
tǐng 梃 tǐng
tǐng 烶 tǐng
tǐng 珽 tǐng
tǐng 艇 tǐng
tǐng 颋 tǐng
tǒng 㛚 tǒng
tǒng 捅 tǒng
tǒng 桶 tǒng
tǒng 筒 tǒng
tǒng 统 tǒng
tāo 弢 tāo
tāo 慆 tāo
tāo 掏 tāo
tāo 涛 tāo
tāo 滔 tāo
tāo 绦 tāo
tāo 韬 tāo
tāo 饕 tāo
tǎo 讨 tǎo
tōu 偷 tōu
tǒu 钭 tǒu
